"","500N","500","500","500","500","500","500","505","500","500","500","500","500","505","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"
"Eden Quay","00:30","14:00","08:30","14:30","15:00","15:30","16:00","16:05","16:30","17:00","17:30","18:00","09:00","18:05","18:30","19:00","19:30","20:00","20:30","22:00","22:30","23:00","09:30","10:00","11:30","12:00","12:30","13:00","13:30"
"IFSC","00:31","14:01","08:31","14:31","15:01","15:31","16:01","16:06","16:31","17:01","17:31","18:01","09:01","18:06","18:31","19:01","19:31","20:01","20:31","22:01","22:31","23:01","09:31","10:01","11:31","12:01","12:31","13:01","13:31"
"Custom House Quay (Jury's)","00:32","14:02","08:32","14:32","15:02","15:32","16:02","16:07","16:32","17:02","17:32","18:02","09:02","18:07","18:32","19:02","19:32","20:02","20:32","22:02","22:32","23:02","09:32","10:02","11:32","12:02","12:32","13:02","13:32"
"Custom House Quay (Clarion)","00:33","14:03","08:33","14:33","15:03","15:33","16:03","16:08","16:33","17:03","17:33","18:03","09:03","18:08","18:33","19:03","19:33","20:03","20:33","22:03","22:33","23:03","09:33","10:03","11:33","12:03","12:33","13:03","13:33"
"North Wall Quay","00:34","14:04","08:34","14:34","15:04","15:34","16:04","16:09","16:34","17:04","17:34","18:04","09:04","18:09","18:34","19:04","19:34","20:04","20:34","22:04","22:34","23:04","09:34","10:04","11:34","12:04","12:34","13:04","13:34"
"Point Depot (North Wall Quay)","00:35","14:05","08:35","14:35","15:05","15:35","16:05","16:10","16:35","17:05","17:35","18:05","09:05","18:10","18:35","19:05","19:35","20:05","20:35","22:05","22:35","23:05","09:35","10:05","11:35","12:05","12:35","13:05","13:35"
"Point Depot (East Wall Road)","00:36","14:06","08:36","14:36","15:06","15:36","16:06","16:11","16:36","17:06","17:36","18:06","09:06","18:11","18:36","19:06","19:36","20:06","20:36","22:06","22:36","23:06","09:36","10:06","11:36","12:06","12:36","13:06","13:36"
"Holywell Distributor Road","00:47","14:17","08:47","14:47","15:17","15:47","16:17","16:22","16:47","17:17","17:47","18:17","09:17","18:22","18:47","19:17","19:47","20:17","20:47","22:17","22:47","23:17","09:47","10:17","11:47","12:17","12:47","13:17","13:47"
"Airside Central","00:49","14:19","08:49","14:49","15:19","15:49","16:19","16:24","16:49","17:19","17:49","18:19","09:19","18:24","18:49","19:19","19:49","20:19","20:49","22:19","22:49","23:19","09:49","10:19","11:49","12:19","12:49","13:19","13:49"
"Boroimhe Maples","00:51","14:21","08:51","14:51","15:21","15:51","16:21","16:26","16:51","17:21","17:51","18:21","09:21","18:26","18:51","19:21","19:51","20:21","20:51","22:21","22:51","23:21","09:51","10:21","11:51","12:21","12:51","13:21","13:51"
