"","500","500","500","500","500","500","500","500","500","500","500","500","500","501","500","500","505X","500","500","500","506","500","500X","501","505X","500","500X","505X","500","500","503","500X","505X","500","500","500","500X","503","500","500","505X","500X","506","500","500","500","500","505X","500","500","500","500","500","500","500","500","500N","500","500N","500","500","500"
"Merrion Square","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17:25","","","","","","","17:50","","","","","","","","","","","","","","","","","","","","","","","",""
"Eden Quay","07:00","07:30","10:45","11:15","11:45","12:15","12:45","13:15","13:45","14:15","14:45","15:15","15:40","07:45","15:45","16:05","16:10","16:15","16:20","16:25","16:30","16:35","16:45","08:05","16:50","16:55","17:00","17:10","17:15","17:20","","17:25","17:25","17:30","17:40","08:30","17:45","","17:55","18:00","18:10","18:15","18:20","18:30","18:35","18:45","08:45","19:00","19:15","19:45","20:15","20:45","21:45","22:15","22:45","23:00","23:30","09:00","23:45","09:15","09:45","10:15"
"IFSC","07:02","07:32","10:47","11:17","11:47","12:17","12:47","13:17","13:47","14:17","14:47","15:17","15:42","07:47","15:47","16:07","16:12","16:17","16:22","16:27","16:32","16:37","16:47","08:07","16:52","16:57","17:02","17:12","17:17","17:22","17:40","17:27","17:27","17:32","17:42","08:32","17:47","18:05","17:57","18:02","18:12","18:17","18:22","18:32","18:37","18:47","08:47","19:02","19:17","19:47","20:17","20:47","21:47","22:17","22:47","23:02","23:32","09:02","23:47","09:17","09:47","10:17"
"Custom House Quay (Jury's)","07:03","07:34","10:48","11:18","11:48","12:18","12:48","13:18","13:48","14:18","14:48","15:18","15:43","07:49","15:48","16:08","16:14","16:19","16:24","16:29","16:34","16:39","16:49","08:09","16:54","16:59","17:04","17:14","17:19","17:24","17:42","17:29","17:29","17:34","17:44","08:34","17:49","18:07","17:59","18:04","18:14","18:19","18:24","18:34","18:39","18:49","08:49","19:04","19:18","19:48","20:18","20:48","21:48","22:18","22:48","23:03","23:33","09:04","23:48","09:19","09:48","10:18"
"Custom House Quay (Clarion)","07:04","07:36","10:49","11:19","11:49","12:19","12:49","13:19","13:49","14:19","14:49","15:19","15:44","07:51","15:49","16:09","16:16","16:21","16:26","16:31","16:36","16:41","16:51","08:11","16:56","17:01","17:06","17:16","17:21","17:26","17:44","17:31","17:31","17:36","17:46","08:36","17:51","18:09","18:01","18:06","18:16","18:21","18:26","18:36","18:41","18:51","08:51","19:06","19:19","19:49","20:19","20:49","21:49","22:19","22:49","23:04","23:34","09:06","23:49","09:21","09:49","10:19"
"North Wall Quay","07:05","07:38","10:50","11:20","11:50","12:20","12:50","13:20","13:50","14:20","14:50","15:20","15:45","07:53","15:50","16:10","16:18","16:23","16:28","16:33","16:38","16:43","16:53","08:13","16:58","17:03","17:08","17:18","17:23","17:28","17:46","17:33","17:33","17:38","17:48","08:38","17:53","18:11","18:03","18:08","18:18","18:23","18:28","18:38","18:43","18:53","08:53","19:08","19:20","19:50","20:20","20:50","21:50","22:20","22:50","23:05","23:35","09:08","23:50","09:23","09:50","10:20"
"Point Depot (North Wall Quay)","07:06","07:39","10:51","11:21","11:51","12:21","12:51","13:21","13:51","14:21","14:51","15:21","15:46","07:54","15:51","16:11","16:19","16:24","16:29","16:34","16:39","16:44","16:54","08:14","16:59","17:04","17:09","17:19","17:24","17:29","17:47","17:34","17:34","17:39","17:49","08:39","17:54","18:12","18:04","18:09","18:19","18:24","18:29","18:39","18:44","18:54","08:54","19:09","19:21","19:51","20:21","20:51","21:51","22:21","22:51","23:06","23:36","09:09","23:51","09:24","09:51","10:21"
"Point Depot (East Wall Road)","07:07","07:40","10:52","11:22","11:52","12:22","12:52","13:22","13:52","14:22","14:52","15:22","15:47","07:55","15:52","16:12","16:20","16:25","16:30","16:35","16:40","16:45","16:55","08:15","17:00","17:05","17:10","17:20","17:25","17:30","17:48","17:35","17:35","17:40","17:50","08:40","17:55","18:13","18:05","18:10","18:20","18:25","18:30","18:40","18:45","18:55","08:55","19:10","19:22","19:52","20:22","20:52","21:52","22:22","22:52","23:07","23:37","09:10","23:52","09:25","09:52","10:22"
"Airport r/about","","","","","","","","","","","","","","","","","16:31","","","","","","","","17:11","","","17:31","","","","","17:46","","","","","","","","18:31","","","","","","","19:21","","","","","","","","","","","","","",""
"N1 Business Park","","","","","","","","","","","","","","","","","16:33","","","","","","","","17:13","","","17:33","","","","","17:48","","","","","","","","18:33","","","","","","","19:23","","","","","","","","","","","","","",""
